SKU,CategoryCode,SKUStatus,SupplierNumber
1290374,370,Discontinued,1052
1290375,370,Discontinued,1052
1290376,370,Pre Active,2044
1290568,370,Discontinued,40514
1290576,370,Discontinued,40514
1290584,370,Discontinued,40514
1290600,370,Discontinued,40514
1290626,370,Discontinued,40514
1291319,370,Pre Active,1415
1291442,370,Active,5201
1291491,370,Discontinued,37145
1291509,370,Active,5201
1291517,370,Active,5201
1291541,370,Discontinued,37145
1291624,370,Discontinued,32025
1291632,370,Active,37145
1291665,370,Active,30825
1291699,370,Active,30825
1291715,370,Discontinued,32025
1291723,370,Pre Active,1415
1291772,370,Discontinued,1415
1291798,370,Discontinued,1415
1291806,370,Discontinued,1415
1291814,370,Pre Active,1415
1291822,370,Pre Active,32025
1291830,370,Discontinued,37145
1291863,370,Active,37145
1291871,370,Pre Active,37145
1291889,370,Active,37145
1291897,370,Pre Active,1415
1291913,370,Pre Active,1415
1291939,370,Pre Active,1415
1291947,370,Pre Active,1415
1291954,370,Pre Active,1415
1291962,370,Active,32025
1291970,370,Active,32025
1292002,370,Discontinued,37145
1292028,370,Discontinued,1415
1292036,370,Active,32025
1292044,370,Active,32025
1292077,370,Active,32025
1292101,370,Pre Active,1415
1292119,370,Pre Active,1415
1292143,370,Pre Active,1415
1292150,370,Pre Active,1415
1292168,370,Pre Active,37145
1292176,370,Pre Active,1415
1292184,370,Active,32025
1292192,370,Discontinued,1415
1292218,370,Pre Active,1415
1292226,370,Pre Active,1415
1292242,370,Pre Active,1415
1292291,370,Active,32025
1292309,370,Active,32025
1292317,370,Active,32025
1292325,370,Pre Active,1415
1292333,370,Discontinued,37145
1292341,370,Pre Active,1415
1292358,370,Active,32025
1292424,370,Pre Active,1415
1292432,370,Pre Active,1415
1292457,370,Discontinued,37145
1292747,370,Discontinued,37145
1292762,370,Pre Active,1415
1292770,370,Discontinued,37145
1292788,370,Discontinued,32025
1292796,370,Pre Active,32025
1292804,370,Active,32025
1292812,370,Active,32025
1293018,370,Active,32025
1293026,370,Active,32025
1293166,370,Active,32025
1293174,370,Active,32025
1293224,370,Active,66569
1293299,370,Active,32025
1293315,370,Pre Active,1415
1293323,370,Pre Active,32025
1293331,370,Discontinued,1415
1293422,370,Discontinued,37145
1293430,370,Pre Active,1415
1293448,370,Discontinued,37145
1293455,370,Discontinued,37145
1293489,370,Pre Active,1415
1293513,370,Pre Active,37145
1293612,370,Pre Active,1415
1293653,370,Discontinued,1415
1293679,370,Active,333
1293687,370,Active,333
1293778,370,Pre Active,1415
1293836,370,Pre Active,1415
1293844,370,Active,32025
1293851,370,Active,32025
1293869,370,Active,32025
1293877,370,Discontinued,37145
1293885,370,Discontinued,37145
1293893,370,Pre Active,1415
1293901,370,Active,32025
1293927,370,Pre Active,1415
1293935,370,Discontinued,37145
1293943,370,Pre Active,1415
1293968,370,Pre Active,37145
1293976,370,Discontinued,1415
1294024,370,Pre Active,1415
1294073,370,Active,51726
1294099,370,Active,37145
1294107,370,Pre Active,1415
1294412,370,Active,32025
1294727,370,Active,32025
1294735,370,Discontinued,37145
1294743,370,Discontinued,37145
1294750,370,Active,32025
1294776,370,Discontinued,37145
1294792,370,Pre Active,1415
1294800,370,Discontinued,37145
1294818,370,Active,32025
1294826,370,Pre Active,37145
1294834,370,Pre Active,37145
1294859,370,Discontinued,1415
1294867,370,Pre Active,1415
1294875,370,Pre Active,1415
1294891,370,Active,5201
1294909,370,Active,5201
1294917,370,Active,5201
1294941,370,Discontinued,37145
1294958,370,Discontinued,37145
1294990,370,Pre Active,1415
1295013,370,Pre Active,1415
1295021,370,Discontinued,1415
1295039,370,Pre Active,1415
1295054,370,Pre Active,1415
1295310,370,Active,32025
1400027,330,Active,74023
1400043,330,Active,74023
1400068,330,Active,74023
1400084,330,Active,74023
1400100,330,Active,74023
1400134,330,Active,74023
1420009,330,Active,74023
1420025,330,Active,74023
1430024,330,Discontinued,74023
1430040,330,Discontinued,74023
1430065,330,Discontinued,74023
1430081,330,Discontinued,74023
1430099,330,Discontinued,74023
1430107,330,Active,74023
1430123,330,Active,74023
1430149,330,Active,74023
1430164,330,Discontinued,74023
1430172,330,Discontinued,74023
1440080,330,Active,74023
1440098,330,Active,74023
1450055,330,Active,25075
1450063,330,Active,25075
1450071,330,Active,25075
1450089,330,Active,25075
1450097,330,Active,25075
1450105,330,Active,25075
1450113,330,Active,25075
1450121,330,Active,25075
1450139,330,Active,25075
1450147,330,Active,25075
1450154,330,Active,25075
1450170,330,Active,25075
1450188,330,Active,25075
1450196,330,Active,25075
1450204,330,Active,25075
1450220,330,Active,25075
1450246,330,Active,25075
1450253,330,Active,25075
1450287,330,Active,25075
1480001,330,Active,74023
1480002,330,Active,74023
1480003,330,Active,74023
1480029,330,Active,74023
1480037,330,Active,74023
1480045,330,Active,74023
1480086,330,Active,74023
1480110,330,Active,74023
1480144,330,Active,74023
1480151,330,Active,74023
1480169,330,Active,74023
1480177,330,Active,74023
1480185,330,Active,74023
1490002,330,Active,74023
1500002,350,Pre Active,16940
1500006,350,Pre Active,16940
1510002,420,Discontinued,77312
1510080,420,Discontinued,77312
1510155,420,Seasonal,77312
1510163,420,Discontinued,77312
1530044,420,Discontinued,84258
1540004,700,Pre Active,997
1540005,700,Pre Active,997
1540319,700,Discontinued,77312
1540376,700,Discontinued,77312
1550005,330,Active,52070
1580009,330,Active,51726
1580016,330,Active,88111
1580017,330,Active,88111
1580091,330,Active,88111
1580117,380,Active,26057
1580133,330,Active,52070
1580216,330,Active,88111
1580240,330,Active,88111
1580869,380,Active,52070
1740001,430,Discontinued,52070
1740281,430,Discontinued,52070
1740703,430,Active,52070
1740711,430,Active,52070
2000008,410,Discontinued,2044
2020017,310,Discontinued,1769
2020018,310,Discontinued,1769
2020029,310,Active,52070
2020035,310,Pre Active,52070
2020036,310,Discontinued,52070
2020059,310,Seasonal,2664
2020060,310,Seasonal,2664
2020061,310,Seasonal,2664
2020062,310,Discontinued,2664
2020081,310,Active,1769
2020088,310,Active,2664
2020090,310,Active,2664
2020091,310,Active,2664
2020092,310,Active,2664
2020107,310,Discontinued,2664
2020125,310,Active,16934
2020126,310,Active,16934
2020127,310,Active,16934
2020128,310,Active,16934
2020130,310,Discontinued,16934
2020143,310,Active,1769
2020171,310,Active,88111
2020174,410,Pre Active,2044
2020253,310,Active,52070
2020261,310,Active,52070
2020287,310,Discontinued,1769
2020295,310,Active,2664
2020576,310,Active,1769
2020584,310,Active,1769
2020626,310,Pre Active,52070
2020964,310,Active,1769
2021368,310,Active,2664
2021384,310,Pre Active,52070
2021392,310,Active,52070
2021418,310,Pre Active,52070
2021558,310,Discontinued,2664
2021590,310,Discontinued,85243
2021806,310,Discontinued,2664
2021814,310,Discontinued,1769
2021822,700,Discontinued,1769
2024685,310,Discontinued,2664
2024925,310,Discontinued,1769
2026201,310,Active,2664
2026755,310,Active,1769
2026763,310,Active,1769
2026771,310,Active,1769
2026805,310,Active,1769
2026888,310,Active,1769
2026896,310,Active,1769
2040008,380,Active,1692
2040063,380,Active,52070
2040113,380,Active,2664
2040114,380,Active,2664
2040115,380,Active,2664
2040116,380,Active,2664
2040151,380,Active,1692
2040153,380,Active,1692
2040154,380,Active,1692
2040155,380,Active,1692
2040156,380,Active,1692
2040157,380,Active,1692
2040254,380,Active,16940
2040255,380,Active,16940
2040256,380,Active,16940
2040257,380,Active,16940
2040258,380,Active,16940
2040259,380,Active,16940
2040260,380,Active,16940
2040287,380,Discontinued,16940
2040288,380,Active,16940
2040289,380,Active,16940
2040290,380,Active,16940
2040291,380,Active,16940
2040292,380,Active,16940
2040294,380,Active,16940
2040295,380,Active,16940
2040296,380,Active,16940
2040297,380,Active,16940
2040298,380,Active,16940
2041119,380,Discontinued,32285
2041143,380,Active,1692
2041150,380,Active,1692
2041168,380,Active,1692
2041176,380,Active,1692
2041184,380,Active,1692
2041192,380,Active,1692
2041291,380,Active,52070
2050002,310,Active,88111
2050003,310,Active,88111
2050006,310,Discontinued,88111
2060065,200,Discontinued,2745
2060333,390,Discontinued,56202
2060366,390,Discontinued,56202
2080000,310,Active,15811
2080008,310,Discontinued,28836
2080017,310,Discontinued,80857
2080018,310,Active,15811
2080021,310,Active,511
2080025,310,Active,511
2080026,310,Active,15811
2080027,310,Active,511
2080028,310,Active,511
2080031,310,Active,511
2080032,310,Active,511
2080033,310,Discontinued,511
2080034,310,Discontinued,15811
2080055,310,Active,511
2080057,310,Discontinued,511
2080059,310,Active,15811
2080065,310,Active,511
2080066,310,Active,511
2080067,310,Active,15811
2080068,310,Active,511
2080075,310,Active,15811
2080076,310,Active,511
2080078,310,Active,511
2080092,700,Discontinued,511
2080095,310,Active,511
2080096,310,Active,511
2080097,310,Active,511
2080127,310,Discontinued,95
2080166,310,Discontinued,1769
2080216,310,Active,511
2080224,310,Active,511
2080307,440,Active,15811
2080315,440,Active,15811
2081180,310,Active,15811
2081198,310,Active,15811
2400002,390,Discontinued,123
2400003,370,Active,5446
2400022,380,Pre Active,2044
2400463,370,Discontinued,1678
2430008,380,Active,1323
2430009,380,Active,1323
2430013,380,Active,1323
2430016,380,Active,1323
2430017,380,Active,1323
2430020,380,Active,1323
2430021,380,Active,1323
2430023,380,Active,1323
2430024,380,Active,1323
2430026,380,Active,1323
2430027,380,Active,1323
2430028,380,Active,1323
2430029,380,Active,1323
2430030,380,Discontinued,1323
2430031,380,Discontinued,989
2430032,380,Discontinued,989
2430033,380,Discontinued,989
2430034,380,Discontinued,989
2430035,380,Discontinued,989
2430036,380,Discontinued,989
2430038,380,Discontinued,989
2430039,380,Discontinued,989
2430040,380,Discontinued,989
2430045,380,Discontinued,989
2430048,380,Discontinued,989
2430049,380,Discontinued,989
2430050,380,Discontinued,989
2430053,380,Discontinued,989
2430054,380,Discontinued,989
2430055,380,Discontinued,989
2430056,380,Discontinued,989
2430065,380,Active,1026
2430066,380,Active,1026
